C4,C3,P3,,,,,,,,,,,,,
O1,O2,Pz,,,,,,,,,,,,,
F8,T4,T3,C3,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,C3,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
O1,O2,F8,P4,,,,,,,,,,,,
F7,T3,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
T4,P4,C4,F8,T5,P3,C3,Cz,Pz,,,,,,,
T4,P4,F3,C4,T6,T3,F8,T5,P3,O1,O2,F7,C3,Cz,Pz,
C3,,,,,,,,,,,,,,,
T5,Cz,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
T6,F8,,,,,,,,,,,,,,
P4,Pz,,,,,,,,,,,,,,
F3,F8,T4,,,,,,,,,,,,,
F4,C4,C3,Cz,,,,,,,,,,,,
O1,T5,,,,,,,,,,,,,,
F3,T3,P3,F4,T5,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
T4,P4,F3,C4,T6,F8,F4,O2,,,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
C4,P3,Pz,,,,,,,,,,,,,
C3,P3,T5,T3,,,,,,,,,,,,
F3,F8,F4,C3,Cz,,,,,,,,,,,
O1,F8,,,,,,,,,,,,,,
O1,P3,T4,T5,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
F4,T6,F8,,,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
F3,F8,T5,F4,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
T4,T3,F8,P3,F7,T5,,,,,,,,,,
C4,T4,P3,,,,,,,,,,,,,
P4,T3,P3,O2,Pz,,,,,,,,,,,
F7,T5,T3,,,,,,,,,,,,,
O1,T6,P3,Pz,,,,,,,,,,,,
T4,P4,F3,T6,T3,F8,T5,P3,O2,F7,C3,Cz,Pz,,,
P3,,,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
P3,P4,Pz,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T4,T6,F8,F7,T5,,,,,,,,,,,
T6,F8,F4,F7,T5,,,,,,,,,,,
F7,P3,Pz,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T6,F7,,,,,,,,,,,,,,
O2,T6,,,,,,,,,,,,,,
F3,C4,T6,T3,P3,F7,T5,Pz,,,,,,,,
P4,F3,C4,T6,O1,T3,T5,P3,F4,O2,F7,C3,Cz,Pz,,
O1,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,Pz,,,,,,,,,,,,,,
F4,C4,F8,T4,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
T4,P4,C4,P3,F4,C3,Cz,Pz,,,,,,,,
F4,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
F3,C4,T3,Pz,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
O1,P3,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
F3,T3,O1,F7,T5,,,,,,,,,,,
F4,F8,T4,,,,,,,,,,,,,
O1,P3,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
F3,F8,F4,,,,,,,,,,,,,
T4,F3,T6,O1,T3,F8,P3,F4,F7,C3,T5,,,,,
P3,T5,,,,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
P3,T5,T3,Pz,,,,,,,,,,,,
F7,T3,,,,,,,,,,,,,,
F7,T3,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
F4,C4,T4,,,,,,,,,,,,,
F3,C4,T3,F4,F7,,,,,,,,,,,
P4,F3,C4,P3,O2,Cz,Pz,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
F3,F4,,,,,,,,,,,,,,
O1,O2,Cz,Pz,,,,,,,,,,,,
F4,Cz,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
C3,P3,Cz,T3,,,,,,,,,,,,
C4,F8,C3,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
F7,C3,T3,,,,,,,,,,,,,
F3,C3,F4,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
F3,T6,T3,F4,F7,,,,,,,,,,,
P4,F3,C4,T3,T5,F4,F7,C3,Cz,Pz,,,,,,
T4,P4,F3,C4,T6,F8,P3,F4,Cz,Pz,,,,,,
C3,,,,,,,,,,,,,,,
F3,F4,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
P4,F3,T3,T5,P3,F7,C3,Cz,,,,,,,,
T6,T4,,,,,,,,,,,,,,
C4,T6,Cz,,,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
F3,F7,T3,,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C4,C3,T4,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
Cz,Pz,,,,,,,,,,,,,,
C4,T4,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F4,F8,T4,,,,,,,,,,,,,
T4,C4,T6,F8,F4,C3,Cz,,,,,,,,,
F3,C4,P4,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
C4,Cz,P4,Pz,,,,,,,,,,,,
P4,F3,C4,T6,F8,P3,F4,C3,Cz,Pz,,,,,,
F3,C4,C3,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
O1,O2,T6,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
O1,P4,,,,,,,,,,,,,,
T4,C4,F4,C3,Cz,,,,,,,,,,,
F4,O2,C3,Pz,,,,,,,,,,,,
P4,C4,F4,F7,C3,Cz,,,,,,,,,,
F8,T4,Cz,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,F7,C3,Cz,Pz,,
F3,C4,T6,T3,T5,P3,F4,F7,C3,Cz,Pz,,,,,
F7,,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
T3,P3,F4,F7,C3,T5,,,,,,,,,,
P4,,,,,,,,,,,,,,,
P4,C4,T6,O1,P3,F4,O2,C3,T5,,,,,,,
O2,T6,C3,,,,,,,,,,,,,
P4,C4,P3,C3,Cz,Pz,,,,,,,,,,
C4,,,,,,,,,,,,,,,
F7,T5,T3,,,,,,,,,,,,,
T4,C4,F8,P3,F4,C3,Cz,,,,,,,,,
F7,,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
C4,C3,Cz,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C4,O1,F8,F4,C3,Cz,,,,,,,,,,
F8,,,,,,,,,,,,,,,
T4,T5,,,,,,,,,,,,,,
O2,T6,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
T4,C4,T6,T3,F8,P3,F4,C3,Cz,Pz,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,C3,Cz,Pz,
T4,P4,O1,C3,T5,Pz,,,,,,,,,,
O1,,,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
P4,F3,C4,T3,T5,P3,O1,F7,C3,Cz,Pz,,,,,
F3,T3,P3,O1,F7,C3,Pz,,,,,,,,,
F8,,,,,,,,,,,,,,,
F3,C4,T3,P3,O1,O2,F7,C3,T5,Pz,,,,,,
T6,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C3,Cz,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
P4,F3,C4,T6,P3,F4,C3,Cz,,,,,,,,
T6,,,,,,,,,,,,,,,
F3,C3,P3,Cz,,,,,,,,,,,,
O2,Cz,,,,,,,,,,,,,,
O2,P3,,,,,,,,,,,,,,
T4,C4,F8,F4,O2,T5,,,,,,,,,,
C3,Cz,,,,,,,,,,,,,,
T4,Pz,,,,,,,,,,,,,,
F3,T5,F4,O2,Cz,,,,,,,,,,,
O2,C3,Cz,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
F4,C3,Cz,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
P4,F3,T6,F8,F4,C3,Cz,,,,,,,,,
T6,,,,,,,,,,,,,,,
P4,Pz,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T4,P4,C4,T6,F8,O1,Pz,,,,,,,,,
O1,C4,C3,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
O2,Cz,,,,,,,,,,,,,,
F3,F7,T5,F4,,,,,,,,,,,,
T4,P4,C4,T6,O1,F8,F4,C3,Pz,,,,,,,
C4,C3,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F3,O1,F8,F4,T5,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
P4,P3,O2,F7,Cz,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
C4,C3,,,,,,,,,,,,,,
F7,P3,,,,,,,,,,,,,,
F3,O1,T3,F8,F4,T5,Pz,,,,,,,,,
O1,C4,C3,T4,,,,,,,,,,,,
O1,C4,C3,,,,,,,,,,,,,
T3,,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
P4,F3,Cz,P3,F4,O2,F7,T5,,,,,,,,
O1,C4,C3,T4,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
F3,T3,P3,F4,O2,F7,Cz,,,,,,,,,
F8,T4,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
T4,P4,F3,C4,T6,T3,F8,T5,P3,F4,F7,C3,Cz,Pz,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
T4,P4,F3,C4,T3,F8,T5,P3,F4,F7,C3,Cz,Pz,,,
T4,P4,F3,C4,O1,T3,T5,P3,F4,F7,C3,Cz,,,,
T4,,,,,,,,,,,,,,,
F3,P3,O1,Cz,Pz,,,,,,,,,,,
F3,T5,F4,,,,,,,,,,,,,
O2,P4,,,,,,,,,,,,,,
C4,T4,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
O1,F7,,,,,,,,,,,,,,
F7,T3,,,,,,,,,,,,,,
T6,P4,,,,,,,,,,,,,,
T6,P4,,,,,,,,,,,,,,
F4,P3,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
T4,F3,F8,F4,F7,,,,,,,,,,,
T6,Cz,P3,C3,T5,Pz,,,,,,,,,,
P3,Cz,P4,Pz,,,,,,,,,,,,
F4,O2,Cz,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
T3,,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T6,Cz,F7,T5,Pz,,,,,,,,,,,
Cz,Pz,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
P4,F3,C4,T5,F4,F7,C3,Cz,Pz,,,,,,,
T6,,,,,,,,,,,,,,,
P4,O2,F7,C3,Cz,Pz,,,,,,,,,,
O2,P3,Cz,Pz,,,,,,,,,,,,
F3,F7,F4,,,,,,,,,,,,,
F4,,,,,,,,,,,,,,,
T5,T3,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T4,P4,C4,T6,T3,F8,T5,P3,O1,O2,C3,Cz,Pz,,,
T6,T5,,,,,,,,,,,,,,
T4,T6,F8,O2,F7,T5,Pz,,,,,,,,,
C3,T5,T3,,,,,,,,,,,,,
T6,T5,Pz,,,,,,,,,,,,,
T3,Pz,,,,,,,,,,,,,,
T4,P4,F3,C4,T6,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz,
T5,,,,,,,,,,,,,,,
C4,P4,T3,O2,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
T4,P4,F3,C4,T6,T3,T5,P3,F4,C3,Cz,Pz,,,,
P4,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
F8,Cz,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
C4,F7,Cz,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,T3,,,,,,,,,,,,,,
T4,P3,F4,Cz,Pz,,,,,,,,,,,
O1,O2,,,,,,,,,,,,,,
O1,O2,P4,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F8,Pz,,,,,,,,,,,,,,
T6,T4,,,,,,,,,,,,,,
C4,Cz,P4,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
T4,F3,T3,F8,T5,F4,F7,C3,Cz,Pz,,,,,,
F7,,,,,,,,,,,,,,,
T4,P4,T6,F8,O2,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
T4,P4,F3,T6,T3,F8,P3,F4,O2,F7,C3,T5,,,,
C4,Cz,,,,,,,,,,,,,,
O1,O2,T6,P4,,,,,,,,,,,,
P4,T6,F8,O1,O2,Pz,,,,,,,,,,
F3,O2,F8,Pz,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
T6,F8,C3,,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
O2,Pz,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
C3,Cz,P4,Pz,,,,,,,,,,,,
O1,P4,Pz,,,,,,,,,,,,,
P4,F3,O1,T3,F8,T5,P3,F4,F7,C3,Cz,Pz,,,,
O2,,,,,,,,,,,,,,,
Cz,Pz,,,,,,,,,,,,,,
O1,P4,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
T3,,,,,,,,,,,,,,,
T3,,,,,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
T4,C4,O1,F8,F4,Pz,,,,,,,,,,
P3,T5,,,,,,,,,,,,,,
O1,P3,Pz,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
T4,P4,C4,C3,Cz,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
T4,P4,C4,T6,C3,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,F4,,,,,,,,,,,,,,
C4,P4,O2,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
O2,T6,P4,Pz,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,T6,T3,F8,F4,O2,F7,C3,T5,,,,,,,
F8,T4,,,,,,,,,,,,,,
P4,C4,T6,P3,O2,Pz,,,,,,,,,,
F3,F4,T3,,,,,,,,,,,,,
P4,T6,P3,O1,O2,Pz,,,,,,,,,,
F3,C3,F4,,,,,,,,,,,,,
F3,F4,,,,,,,,,,,,,,
O1,T3,,,,,,,,,,,,,,
C4,C3,Cz,,,,,,,,,,,,,
T4,P4,T6,F8,P3,O2,Pz,,,,,,,,,
F4,F8,,,,,,,,,,,,,,
O1,O2,P4,,,,,,,,,,,,,
F3,T5,P4,Pz,,,,,,,,,,,,
O1,P4,Pz,,,,,,,,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
F7,T3,,,,,,,,,,,,,,
F3,O2,F7,P4,,,,,,,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
P4,T3,F4,O2,F7,C3,T5,,,,,,,,,
P4,F3,T3,F4,F7,T5,,,,,,,,,,
P3,,,,,,,,,,,,,,,
O2,P4,,,,,,,,,,,,,,
F7,T5,T3,,,,,,,,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz
P4,C4,P3,O1,C3,Cz,Pz,,,,,,,,,
T4,P4,T3,F8,F4,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
P4,,,,,,,,,,,,,,,
T6,T4,P4,Pz,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
O1,O2,Pz,,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
F3,F7,C3,,,,,,,,,,,,,
C4,T4,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,P3,Cz,,,,,,,,,,,,,
T6,T4,Pz,,,,,,,,,,,,,
O1,T6,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
T4,P4,F3,C4,T6,O1,T3,F8,T5,P3,F4,F7,C3,Cz,Pz,
C3,Pz,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
T4,P4,C4,T6,F8,O2,C3,Cz,Pz,,,,,,,
T5,,,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
T6,T4,,,,,,,,,,,,,,
O1,T5,,,,,,,,,,,,,,
F7,F8,,,,,,,,,,,,,,
C3,P3,Cz,,,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
T6,F8,T4,,,,,,,,,,,,,
F4,C3,,,,,,,,,,,,,,
T4,C4,T6,F8,F4,,,,,,,,,,,
C4,,,,,,,,,,,,,,,
T3,,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
F3,Pz,,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
F8,Pz,,,,,,,,,,,,,,
T4,F3,T3,F4,T5,,,,,,,,,,,
T5,T3,,,,,,,,,,,,,,
T3,P3,O1,F7,C3,,,,,,,,,,,
T3,P3,O1,F7,Pz,,,,,,,,,,,
T6,T3,P3,O1,O2,T5,,,,,,,,,,
O1,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F7,P3,,,,,,,,,,,,,,
F3,C4,T6,T3,P3,O2,T5,,,,,,,,,
F8,T4,P4,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
F3,T6,F8,T5,F4,Cz,Pz,,,,,,,,,
T3,,,,,,,,,,,,,,,
O1,,,,,,,,,,,,,,,
P4,C4,P3,O1,O2,C3,Cz,Pz,,,,,,,,
P4,T3,O1,T5,Pz,,,,,,,,,,,
F3,P3,Cz,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
C3,Cz,Pz,,,,,,,,,,,,,
T4,T6,T3,Cz,T5,,,,,,,,,,,
P3,Pz,,,,,,,,,,,,,,
T6,,,,,,,,,,,,,,,
F3,O1,T5,F4,F7,C3,Cz,Pz,,,,,,,,
C4,Cz,,,,,,,,,,,,,,
O2,P4,,,,,,,,,,,,,,
O2,T6,,,,,,,,,,,,,,
F3,T5,F4,,,,,,,,,,,,,
C4,P4,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
O2,T5,P4,Pz,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
O2,T4,Pz,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
T6,Cz,,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
O2,P4,Pz,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
C4,P4,Pz,,,,,,,,,,,,,
T4,P4,F3,C4,T6,T3,F8,T5,P3,F4,O2,F7,C3,Cz,Pz,
O1,T6,T4,T5,,,,,,,,,,,,
P4,F3,C4,O1,T3,F8,F4,O2,F7,C3,Cz,Pz,,,,
C4,F8,T5,F7,C3,Cz,,,,,,,,,,
T6,F8,,,,,,,,,,,,,,
O2,P4,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
F8,,,,,,,,,,,,,,,
F3,T6,T4,Pz,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
O1,T6,P4,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
C4,O2,,,,,,,,,,,,,,
Cz,,,,,,,,,,,,,,,
O1,T5,,,,,,,,,,,,,,
O1,O2,P3,T5,,,,,,,,,,,,
P4,F3,F7,C3,Cz,Pz,,,,,,,,,,
P4,T6,P3,O2,Pz,,,,,,,,,,,
T6,F8,F4,O2,T5,,,,,,,,,,,
F4,C4,T4,O2,,,,,,,,,,,,
C4,Pz,,,,,,,,,,,,,,
T6,P4,,,,,,,,,,,,,,
O2,,,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,
F7,T4,,,,,,,,,,,,,,
T6,T4,,,,,,,,,,,,,,
T5,,,,,,,,,,,,,,,
F7,P3,T5,Pz,,,,,,,,,,,,
T6,P3,Pz,,,,,,,,,,,,,
F3,,,,,,,,,,,,,,,
F7,,,,,,,,,,,,,,,
F8,T5,,,,,,,,,,,,,,
T4,F3,C4,F8,F4,,,,,,,,,,,
T4,,,,,,,,,,,,,,,
P4,F3,P3,O1,Pz,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
T4,C4,T3,F8,F4,F7,,,,,,,,,,
F3,T3,T5,F4,F7,C3,Cz,,,,,,,,,
F4,F7,,,,,,,,,,,,,,
F3,C4,T3,F4,F7,C3,T5,,,,,,,,,
F7,C3,Cz,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
P3,,,,,,,,,,,,,,,
P4,T3,P3,F4,O2,C3,,,,,,,,,,
P4,F3,C4,T6,F8,P3,F4,O2,Cz,Pz,,,,,,
Cz,,,,,,,,,,,,,,,
F3,C4,T3,F8,F4,F7,C3,Cz,,,,,,,,
P4,C4,F8,F4,O2,F7,,,,,,,,,,
C4,C3,Cz,,,,,,,,,,,,,
Pz,,,,,,,,,,,,,,,
T4,P4,C4,T6,O1,F8,F4,O2,C3,Pz,,,,,,
